index,CITY,STATE,HDI,GINI,Longetivity,Education
5032,Sertânia,0,0.613,0.601,0.752,0.51
5067,Sirinhaém,0,0.597,0.568,0.763,0.492
5086,Solidão,0,0.585,0.547,0.755,0.485
5106,Surubim,0,0.635,0.617,0.756,0.548
5115,Tabira,0,0.605,0.57,0.77,0.504
5121,Tacaimbó,0,0.55,0.536,0.748,0.423
5122,Tacaratu,0,0.573,0.521,0.711,0.507
5136,Tamandaré,0,0.593,0.583,0.745,0.479
5174,Taquaritinga Do Norte,0,0.64,0.636,0.796,0.52
5215,Terezinha,0,0.545,0.536,0.711,0.425
5221,Terra Nova,0,0.599,0.545,0.741,0.533
5238,Timbaúba,0,0.618,0.592,0.769,0.519
5263,Toritama,0,0.618,0.655,0.797,0.452
5272,Tracunhaém,0,0.605,0.567,0.776,0.504
5301,Trindade,0,0.595,0.602,0.768,0.455
5304,Triunfo,0,0.67,0.624,0.817,0.591
5325,Tupanatinga,0,0.519,0.494,0.747,0.379
5330,Tuparetama,0,0.634,0.612,0.749,0.557
5467,Venturosa,0,0.59,0.57,0.751,0.484
5476,Verdejante,0,0.605,0.56,0.76,0.52
5483,Vertente Do Lério,0,0.563,0.532,0.726,0.461
5484,Vertentes,0,0.58,0.602,0.728,0.45
5492,Vicência,0,0.605,0.551,0.754,0.534
5540,Vitória De Santo Antão,0,0.64,0.629,0.768,0.543
5566,Xexéu,0,0.552,0.549,0.703,0.436
9,Abdon Batista,1,0.69,0.66,0.812,0.625
11,Abelardo Luz,1,0.696,0.684,0.852,0.578
43,Agrolândia,1,0.725,0.727,0.827,0.633
44,Agronômica,1,0.741,0.774,0.884,0.595
53,Água Doce,1,0.698,0.724,0.82,0.574
66,Águas De Chapecó,1,0.713,0.712,0.811,0.629
71,Águas Frias,1,0.745,0.728,0.86,0.661
73,Águas Mornas,1,0.723,0.731,0.853,0.606
114,Alfredo Wagner,1,0.67,0.702,0.882,0.481
147,Alto Bela Vista,1,0.755,0.734,0.882,0.664
225,Anchieta,1,0.7,0.703,0.8,0.608
237,Angelina,1,0.687,0.699,0.797,0.581
250,Anita Garibaldi,1,0.688,0.667,0.826,0.592
251,Anitápolis,1,0.674,0.699,0.836,0.524
260,Antônio Carlos,1,0.75,0.768,0.89,0.615
280,Apiúna,1,0.708,0.735,0.827,0.584
291,Arabutã,1,0.733,0.744,0.863,0.614
339,Araquari,1,0.703,0.696,0.83,0.602
341,Araranguá,1,0.76,0.745,0.853,0.691
385,Armazém,1,0.77,0.743,0.882,0.698
399,Arroio Trinta,1,0.764,0.781,0.873,0.653
403,Arvoredo,1,0.715,0.713,0.842,0.61
405,Ascurra,1,0.742,0.739,0.868,0.636
419,Atalanta,1,0.733,0.736,0.802,0.668
433,Aurora,1,0.733,0.748,0.87,0.606
465,Balneário Arroio Do Silva,1,0.746,0.753,0.858,0.642
466,Balneário Barra Do Sul,1,0.716,0.713,0.844,0.611
467,Balneário Camboriú,1,0.845,0.854,0.894,0.789
468,Balneário Gaivota,1,0.728,0.734,0.844,0.622
469,Balneário Piçarras,1,0.76,0.745,0.869,0.668
481,Bandeirante,1,0.672,0.675,0.795,0.565
507,Barra Bonita,1,0.701,0.692,0.83,0.599
536,Barra Velha,1,0.738,0.735,0.857,0.639
578,Bela Vista Do Toldo,1,0.675,0.624,0.826,0.598
590,Belmonte,1,0.705,0.699,0.82,0.611
600,Benedito Novo,1,0.74,0.723,0.868,0.645
624,Biguaçu,1,0.74,0.733,0.836,0.659
631,Blumenau,1,0.81,0.812,0.894,0.722
658,Bocaina Do Sul,1,0.647,0.642,0.768,0.549
671,Bom Jardim Da Serra,1,0.696,0.71,0.835,0.568
678,Bom Jesus,1,0.718,0.74,0.827,0.606
689,Bom Jesus Do Oeste,1,0.71,0.725,0.83,0.601
699,Bom Retiro,1,0.7,0.704,0.869,0.559
706,Bombinhas,1,0.78,0.753,0.864,0.732
738,Botuverá,1,0.72,0.741,0.848,0.604
740,Braço Do Norte,1,0.778,0.746,0.881,0.716
741,Braço Do Trombudo,1,0.78,0.766,0.883,0.702
788,Brunópolis,1,0.66,0.646,0.819,0.545
789,Brusque,1,0.795,0.794,0.894,0.707
833,Caçador,1,0.735,0.728,0.878,0.62
882,Caibi,1,0.728,0.737,0.83,0.631
